col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
Qual.,Player,Team,Class,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
1,Aidan Knaak,Clemson,SO,9,1,4.18,16,16,0,0,0,90.1,71,46,42,29,110,11,.214
0,Tristan Bissetta,Clemson,JR,0,0,0.00,1,0,0,0,0,1.0,1,0,0,1,1,0,.250
0,Reed Garris,Clemson,SR,3,0,1.57,18,0,0,0,3,28.2,18,6,5,8,30,0,.186
0,Joe Allen,Clemson,JR,5,0,1.84,23,0,0,0,0,29.1,20,9,6,17,32,8,.206
0,Lucas Mahlstedt,Clemson,SR,4,1,3.00,27,0,0,0,15,48.0,48,18,16,8,61,6,.259
0,Jacob McGovern,Clemson,SO,3,1,3.86,20,2,0,0,2,35.0,20,21,15,12,44,8,.165
0,Brendon Bennett,Clemson,FR,0,0,4.05,4,4,0,0,0,6.2,4,5,3,2,4,1,.160
0,Drew Titsworth,Clemson,FR,5,1,4.28,20,7,0,0,2,54.2,57,27,26,19,50,7,.273
0,B.J. Bailey,Clemson,SR,2,5,5.46,21,6,0,0,0,61.0,65,42,37,22,50,10,.275
0,Talan Bell,Clemson,FR,0,2,5.56,9,8,0,0,0,22.2,22,16,14,15,22,3,.244
0,Hudson Lee,Clemson,SO,0,0,5.79,15,0,0,0,0,14.0,10,13,9,13,19,7,.192
0,Ethan Darden,Clemson,JR,4,2,6.08,9,9,0,0,0,40.0,46,33,27,16,34,2,.277
0,Dion Brown,Clemson,FR,0,0,6.75,4,0,0,0,0,2.2,4,2,2,5,1,0,.444
0,Nathan Dvorsky,Clemson,JR,4,0,6.75,22,1,0,0,0,25.1,23,20,19,19,32,3,.247
0,Chance Fitzgerald,Clemson,SO,4,0,7.71,17,1,0,0,0,28.0,35,24,24,9,24,6,.302
0,Tyler Wentworth,Clemson,FR,0,0,8.00,11,0,0,0,0,9.0,10,8,8,5,8,1,.286
0,Justin LeGuernic,Clemson,SO,0,3,9.12,12,6,0,0,0,24.2,30,25,25,14,33,7,.300
0,Chayce Kieck,Clemson,FR,2,0,9.75,9,0,0,0,0,12.0,19,13,13,5,11,1,.373
0,Noah Samol,Clemson,JR,0,1,9.82,7,3,0,0,0,7.1,6,10,8,9,5,7,.240
0,Michael Gillen,Clemson,JR,0,1,15.43,3,0,0,0,0,2.1,6,5,4,0,1,2,.545
0,Jackson Cole,Clemson,FR,0,0,17.18,6,0,0,0,0,3.2,6,7,7,4,1,2,.400
0,Luke Brown,Clemson,FR,0,0,31.50,5,0,0,0,0,2.0,7,7,7,1,3,2,.500
